timestamp_utc,source_rev,device_tag,gpu,op,impl,rows,hidden,num_warps,check,max_rel,fro_rel,warmup_s_min,warmup_s,warmup_iters,warmup_settled,warmup_sm_mean_mhz,warmup_sm_range_pct,reps,ms_median,ms_p10,ms_p90,ms_min,ms_max,ms_max_rep,spread_pct,bytes_min,eff_bandwidth_gbs,pct_bandwidth_roof,pre_sm_mhz,pre_temp_c,pre_power_w,pre_power_limit_w,start_sm_mhz,start_mem_mhz,start_temp_c,start_power_w,start_power_limit_w,start_reasons,end_sm_mhz,end_mem_mhz,end_temp_c,end_power_w,end_power_limit_w,end_reasons,timed_s,sw_power_cap_ms,sw_thermal_ms,hw_thermal_ms,hw_power_brake_ms,tag,torch,triton,desc
2026-09-17T05:19:08Z,5caf9d823070,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm,triton_w2,4096,4096,2,pass,2.367e-07,5.680e-08,30.0,30.00,43342,yes,2520,0.00,100,0.662016,0.616346,0.682634,0.607968,0.870656,11,39.68,134217728,202.741,101.08,1890,48,16.30,121.86,2520,8001,56,58.41,133.23,0x0000000000000000,2520,8001,56,57.86,133.85,0x0000000000000000,0.07,0.0,0.0,0.0,0.0,triton-warps,2.14.0+cu132,3.8.0,Triton; one program per row; num_warps=2
2026-09-17T05:19:38Z,5caf9d823070,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm,triton_w4,4096,4096,4,pass,2.325e-07,5.624e-08,30.0,30.00,43400,yes,2520,0.00,100,0.656896,0.612349,0.673760,0.587776,0.890656,34,46.11,134217728,204.321,101.87,2520,56,22.13,125.54,2520,8001,57,59.01,132.87,0x0000000000000000,2520,8001,57,58.75,134.03,0x0000000000000000,0.07,0.0,0.0,0.0,0.0,triton-warps,2.14.0+cu132,3.8.0,Triton; one program per row; num_warps=4
2026-09-17T05:20:09Z,5caf9d823070,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm,triton_w8,4096,4096,8,pass,2.325e-07,5.677e-08,30.0,30.00,43005,yes,2520,0.00,100,0.668672,0.622592,0.693248,0.615328,0.736256,66,18.08,134217728,200.723,100.08,2520,57,21.76,125.57,2520,8001,57,59.13,133.30,0x0000000000000000,2520,8001,57,59.27,134.22,0x0000000000000000,0.07,0.0,0.0,0.0,0.0,triton-warps,2.14.0+cu132,3.8.0,Triton; one program per row; num_warps=8
2026-09-17T05:20:39Z,5caf9d823070,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm,triton_w16,4096,4096,16,pass,2.281e-07,5.667e-08,30.0,30.00,42969,yes,2520,0.00,100,0.664576,0.620096,0.690278,0.592800,0.879616,71,43.16,134217728,201.960,100.69,2520,57,22.68,125.61,2520,8001,58,60.13,133.45,0x0000000000000000,2520,8001,58,56.86,133.19,0x0000000000000000,0.07,0.0,0.0,0.0,0.0,triton-warps,2.14.0+cu132,3.8.0,Triton; one program per row; num_warps=16
2026-09-17T05:21:09Z,5caf9d823070,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm,triton_w16,4096,4096,16,pass,2.281e-07,5.667e-08,30.0,30.00,42580,yes,2520,0.00,100,0.665920,0.621626,0.688134,0.601248,0.936960,24,50.41,134217728,201.552,100.49,2520,58,22.23,125.22,2520,8001,58,60.14,133.40,0x0000000000000000,2520,8001,58,53.65,133.86,0x0000000000000000,0.07,0.0,0.0,0.0,0.0,triton-warps,2.14.0+cu132,3.8.0,Triton; one program per row; num_warps=16
2026-09-17T05:21:40Z,5caf9d823070,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm,triton_w8,4096,4096,8,pass,2.325e-07,5.677e-08,30.0,30.00,42829,yes,2520,0.00,100,0.660992,0.620442,0.692352,0.602048,0.716768,28,17.36,134217728,203.055,101.24,2520,58,25.46,126.44,2520,8001,58,59.48,134.26,0x0000000000000000,2520,8001,59,55.00,133.74,0x0000000000000000,0.07,0.0,0.0,0.0,0.0,triton-warps,2.14.0+cu132,3.8.0,Triton; one program per row; num_warps=8
2026-09-17T05:22:10Z,5caf9d823070,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm,triton_w4,4096,4096,4,pass,2.325e-07,5.624e-08,30.0,30.00,43320,yes,2520,0.00,100,0.659872,0.609146,0.694995,0.586752,0.731136,75,21.88,134217728,203.400,101.41,2520,59,22.09,126.12,2520,8001,59,59.63,134.29,0x0000000000000000,2520,8001,59,59.46,133.82,0x0000000000000000,0.07,0.0,0.0,0.0,0.0,triton-warps,2.14.0+cu132,3.8.0,Triton; one program per row; num_warps=4
2026-09-17T05:22:40Z,5caf9d823070,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm,triton_w2,4096,4096,2,pass,2.367e-07,5.680e-08,30.0,30.00,43314,yes,2520,0.00,100,0.660480,0.619418,0.682182,0.605184,0.769024,9,24.81,134217728,203.212,101.32,2520,59,22.57,125.15,2520,8001,59,59.16,134.54,0x0000000000000000,2520,8001,59,59.12,133.80,0x0000000000000000,0.07,0.0,0.0,0.0,0.0,triton-warps,2.14.0+cu132,3.8.0,Triton; one program per row; num_warps=2
