timestamp_utc,source_rev,device_tag,gpu,kernel,M,N,K,alpha,beta,check,max_rel,fro_rel,warmup_mode,warmup_s_min,warmup_s,warmup_iters,warmup_settled,warmup_sm_mean_mhz,warmup_sm_range_pct,reps,ms_median,ms_p10,ms_p90,ms_min,ms_max,ms_max_rep,spread_pct,gflops_median,gflops_best,pct_cublas,pre_sm_mhz,pre_mem_mhz,pre_temp_c,pre_power_w,pre_reasons,start_sm_mhz,start_mem_mhz,start_temp_c,start_power_w,start_reasons,start_sample_age_s,end_sm_mhz,end_mem_mhz,end_temp_c,end_power_w,end_reasons,timed_s,sw_power_cap_ms,sw_thermal_ms,hw_thermal_ms,hw_power_brake_ms,tag,pre_power_limit_w,start_power_limit_w,end_power_limit_w,kernel_desc,baseline_check
2026-09-17T01:14:05Z,ddc3fbd630fd,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k0,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.01,1808,yes,2457,0.61,100,16.440831,16.281239,16.604221,15.908576,16.918528,88,6.14,8359.611,8639.300,100.00,1890,8001,55,17.02,0x0000000000000001,2445,8001,81,139.82,0x0000000000000004,0.37,2445,8001,82,139.72,0x0000000000000000,1.65,0.0,0.0,0.0,0.0,,127.37,140.00,140.00,cuBLAS SGEMM (baseline),out-of-band
2026-09-17T01:14:37Z,ddc3fbd630fd,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.02,1600,yes,2505,0.00,100,18.631680,18.419913,19.029020,18.399200,19.469952,87,5.75,7376.627,7469.833,88.24,2505,8001,82,114.83,0x0000000000000000,2505,8001,83,136.09,0x0000000000000000,0.48,2505,8001,83,135.87,0x0000000000000000,1.88,0.0,0.0,0.0,0.0,,140.00,140.00,140.00,warp tiling; 128x64x16 tiles; 8x4 thread tile (search winner),out-of-band
2026-09-17T01:15:09Z,ddc3fbd630fd,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k8c1,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.00,1542,yes,2490,0.00,100,19.355616,18.965401,19.575558,18.919041,19.932032,7,5.23,7100.728,7264.584,84.94,2505,8001,83,27.43,0x0000000000000000,2490,8001,84,134.26,0x0000000000000000,0.40,2490,8001,85,134.09,0x0000000000000000,1.93,0.0,0.0,0.0,0.0,,137.80,138.47,140.00,double buffering; 128/64/16/8/4/32/32; K7 geometry control,out-of-band
2026-09-17T01:15:42Z,ddc3fbd630fd,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k8c2,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.01,1348,yes,2490,0.00,100,22.045184,21.890576,22.446897,21.830528,22.794241,70,4.37,6234.421,6295.723,74.58,2490,8001,85,28.17,0x0000000000000000,2490,8001,85,135.58,0x0000000000000000,0.44,2490,8001,85,135.07,0x0000000000000000,2.22,0.0,0.0,0.0,0.0,,137.98,140.00,140.00,double buffering; 64/64/16/4/8/32/32; smaller tile,out-of-band
2026-09-17T01:16:14Z,ddc3fbd630fd,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k8c3,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.01,1541,yes,2463,0.61,100,19.569664,19.202560,19.797298,19.064896,20.156416,23,5.58,7023.061,7209.006,84.01,2490,8001,85,114.46,0x0000000000000000,2475,8001,86,133.63,0x0000000000000020,0.38,2460,8001,86,130.82,0x0000000000000000,1.96,0.0,0.0,0.0,0.0,,139.38,140.00,140.00,double buffering; 128/64/16/8/4/32/32/true; maximum shared carveout,out-of-band
2026-09-17T01:16:46Z,ddc3fbd630fd,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k8c4,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.02,1510,yes,2490,0.00,100,19.862399,19.457425,20.043587,19.411552,20.410112,62,5.03,6919.555,7080.266,82.77,2460,8001,86,31.27,0x0000000000000000,2490,8001,84,117.54,0x0000000000000000,0.48,2490,8001,83,116.51,0x0000000000000000,1.99,0.0,0.0,0.0,0.0,,139.59,133.90,135.11,double buffering; 128/128/16/8/8/32/64; wider tile,out-of-band
2026-09-17T01:17:19Z,ddc3fbd630fd,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k8c5,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.00,1475,yes,2475,0.00,100,20.418560,20.150377,20.722759,19.766239,20.903809,67,5.57,6731.080,6953.217,80.52,2490,8001,83,99.35,0x0000000000000000,2475,8001,86,129.37,0x0000000000000020,0.43,2460,8001,86,128.85,0x0000000000000000,2.05,0.0,0.0,0.0,0.0,,135.11,136.60,136.69,double buffering; 128/64/32/8/4/32/32; deeper K tile,out-of-band
